OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
267,12.06.16,15,AS76,15,10.7264,1.950666667,0,0,15,0,12.06.16 14:34,11.00805556,164
268,12.06.16,15,AS76,15,10.3512,1.9,0,0,15,0,12.06.16 14:49,11.25805556,164
269,07.06.16,14,AS80,15,10.05046667,2.714,30,12,15,0,07.06.16 13:37,9.966111111,159
270,07.06.16,14,AS80,15,10.4818,2.306666667,27,15,15,0,07.06.16 13:52,10.21611111,159
271,07.06.16,14,AS80,15,10.72466667,1.697333333,14,1,11,4,07.06.16 14:07,10.46611111,159
272,07.06.16,15,AS80,15,10.73446667,1.798666667,15,10,12,3,07.06.16 14:35,10.93277778,159
273,15.06.16,12,AS80,15,10.99006667,1.672,30,0,15,0,15.06.16 11:52,8.341388889,167
274,15.06.16,12,AS80,15,11.49933333,1.368666667,23,0,15,0,15.06.16 12:07,8.591388889,167
275,15.06.16,12,AS80,15,10.82853333,1.419333333,12,0,15,0,15.06.16 12:22,8.841388889,167
276,15.06.16,13,AS80,15,10.46346667,2.281333333,6,0,15,0,15.06.16 12:37,9.091388889,167
277,24.06.16,12,AS80,15,13.19413333,2.052,15,3,7,8,24.06.16 12:10,8.633055556,176
278,24.06.16,12,AS80,15,13.25153333,1.672,15,15,15,0,24.06.16 12:25,8.883055556,176
280,24.06.16,13,AS80,15,13.02866667,2.052,15,11,15,0,24.06.16 12:55,9.383055556,176
281,24.06.16,13,AS80,15,14.61013333,0.608,30,15,15,0,24.06.16 13:23,9.849722222,176
282,24.06.16,14,AS80,15,14.61346667,1.064,18,10,15,0,24.06.16 13:38,10.09972222,176
283,27.06.16,14,AS80,15,12.38193333,0.278666667,12,0,14,1,27.06.16 14:11,10.61083333,179
284,27.06.16,14,AS80,15,12.00266667,0.025333333,0,0,14,1,27.06.16 14:26,10.86083333,179
285,27.06.16,15,AS80,15,11.56266667,0.304,0,0,6,9,27.06.16 14:42,11.1275,179
286,15.06.16,12,AS81,15,10.99006667,1.672,30,0,15,0,15.06.16 11:52,8.341388889,167
287,15.06.16,12,AS81,15,11.49933333,1.368666667,23,0,15,0,15.06.16 12:07,8.591388889,167
289,15.06.16,13,AS81,15,10.46346667,2.281333333,6,0,15,0,15.06.16 12:37,9.091388889,167
290,24.06.16,12,AS81,15,13.19413333,2.052,15,0,15,0,24.06.16 12:10,8.633055556,176
291,24.06.16,12,AS81,15,13.25153333,1.672,15,0,15,0,24.06.16 12:25,8.883055556,176
292,24.06.16,13,AS81,15,12.62673333,1.672,12,0,15,0,24.06.16 12:40,9.133055556,176
293,24.06.16,13,AS81,15,13.02866667,2.052,21,11,15,0,24.06.16 12:55,9.383055556,176
294,24.06.16,13,AS81,15,14.61013333,0.608,30,15,15,0,24.06.16 13:23,9.849722222,176
295,24.06.16,14,AS81,15,14.61346667,1.064,18,15,15,0,24.06.16 13:38,10.09972222,176
296,27.06.16,14,AS81,15,12.38193333,0.278666667,12,15,15,0,27.06.16 14:11,10.61083333,179
297,27.06.16,14,AS81,15,12.00266667,0.025333333,0,15,15,0,27.06.16 14:26,10.86083333,179
298,27.06.16,15,AS81,15,11.5092,0.278666667,0,4,10,5,27.06.16 14:41,11.11083333,179
299,01.07.16,13,AS81,15,11.27913333,0.861333333,0,0,12,3,01.07.16 13:20,9.682777778,183
300,01.07.16,14,AS81,15,11.47386667,0.836,0,0,15,0,01.07.16 13:35,9.932777778,183
301,01.07.16,14,AS81,15,11.75053333,0.988,0,0,15,0,01.07.16 13:50,10.18277778,183
302,01.07.16,14,AS81,15,12.3192,1.266666667,0,0,15,0,01.07.16 14:05,10.43277778,183
303,24.06.16,14,AS82,15,12.49313333,0.025333333,0,1,15,0,24.06.16 14:14,10.69972222,176
304,24.06.16,14,AS82,15,12.60406667,0.430666667,0,15,15,0,24.06.16 14:29,10.94972222,176
305,24.06.16,15,AS82,15,11.93653333,1.292,0,14,15,0,24.06.16 14:45,11.21638889,176
306,01.07.16,13,AS82,15,11.27913333,0.861333333,0,0,15,0,01.07.16 13:20,9.682777778,183
307,01.07.16,14,AS82,15,11.47386667,0.836,0,0,15,0,01.07.16 13:35,9.932777778,183
308,01.07.16,14,AS82,15,11.75053333,0.988,0,0,15,0,01.07.16 13:50,10.18277778,183
309,01.07.16,14,AS82,15,12.3192,1.266666667,0,0,13,2,01.07.16 14:05,10.43277778,183
310,08.06.16,12,AS83,15,8.173066667,2.661333333,0,0,15,0,08.06.16 11:58,8.338055556,160
311,08.06.16,13,AS83,15,8.425666667,2.996666667,0,0,14,1,08.06.16 12:33,8.921388889,160
312,12.06.16,14,AS83,15,11.22706667,2.077333333,0,0,15,0,12.06.16 14:19,10.75805556,164
313,12.06.16,15,AS83,15,10.7264,1.950666667,0,0,15,0,12.06.16 14:34,11.00805556,164
314,12.06.16,15,AS83,15,10.3512,1.9,0,0,15,0,12.06.16 14:49,11.25805556,164
315,24.06.16,14,AS83,15,12.49313333,0.025333333,0,0,15,0,24.06.16 14:14,10.69972222,176
316,24.06.16,14,AS83,15,12.60406667,0.430666667,0,0,15,0,24.06.16 14:29,10.94972222,176
317,24.06.16,15,AS83,15,11.9446,1.266666667,0,0,15,0,24.06.16 14:44,11.19972222,176
318,27.06.16,12,ASX2,15,12.04966667,2.153333333,10,0,15,0,27.06.16 11:56,8.360833333,179
319,27.06.16,12,ASX2,15,11.89773333,2.533333333,19,0,15,0,27.06.16 12:11,8.610833333,179
320,27.06.16,12,ASX2,15,12.02206667,2.330666667,19,0,15,0,27.06.16 12:26,8.860833333,179
321,04.06.16,17,AS50,15,9.5764,3.734,30,0,15,0,04.06.16 16:35,12.85805556,156
